time,MSL_filtered_GIA_TPA_corrected_adjusted,chlor_a,sst_anomaly,sst_anomaly_filtered,trend_MSL_filtered_GIA_TPA_corrected_adjusted
1982-01-15 00:00:00,,,-0.22812633,,
1982-02-15 00:00:00,,,-0.25176266,,
1982-03-15 00:00:00,,,-0.63939565,,
1982-04-15 00:00:00,,,-0.82847565,,
1982-05-15 00:00:00,,,-1.3471369,,
1982-06-15 00:00:00,,,-0.6126541,,
1982-07-15 00:00:00,,,-0.7548428,,
1982-08-15 00:00:00,,,-1.3676598,,
1982-09-15 00:00:00,,,-1.008956,,
1982-10-15 00:00:00,,,-0.62887037,,
1982-11-15 00:00:00,,,-0.6465659,,
1982-12-15 00:00:00,,,-1.286453,,
1983-01-15 00:00:00,,,-1.2434199,-0.99098366,
1983-02-15 00:00:00,,,-1.307278,-1.0156205,
1983-03-15 00:00:00,,,-1.23066,-1.0341288,
1983-04-15 00:00:00,,,-1.2063545,-1.0424277,
1983-05-15 00:00:00,,,-1.0644214,-1.0594907,
1983-06-15 00:00:00,,,-1.5580952,-1.1118072,
1983-07-15 00:00:00,,,-0.6521346,-1.1778748,
1983-08-15 00:00:00,,,-1.5232941,-1.2231166,
1983-09-15 00:00:00,,,-1.210948,-1.2572497,
1983-10-15 00:00:00,,,-1.0692927,-1.2913964,
1983-11-15 00:00:00,,,-0.8669899,-1.3072218,
1983-12-15 00:00:00,,,-0.9860611,-1.2856736,
1984-01-15 00:00:00,,,-0.7556451,-1.2541541,
1984-02-15 00:00:00,,,-0.9068118,-1.2245597,
1984-03-15 00:00:00,,,-0.87274235,-1.1958174,
1984-04-15 00:00:00,,,-0.9934783,-1.175391,
1984-05-15 00:00:00,,,-2.0011597,-1.1677396,
1984-06-15 00:00:00,,,-2.469822,-1.1532793,
1984-07-15 00:00:00,,,-2.068923,-1.1430491,
1984-08-15 00:00:00,,,-2.2251863,-1.1403985,
1984-09-15 00:00:00,,,-1.7898159,-1.1233208,
1984-10-15 00:00:00,,,-1.4870524,-1.1025554,
1984-11-15 00:00:00,,,-0.5479987,-1.0848985,
1984-12-15 00:00:00,,,-0.35070962,-1.0652864,
1985-01-15 00:00:00,,,-0.6662275,-1.0395648,
1985-02-15 00:00:00,,,-0.46393755,-1.0192568,
1985-03-15 00:00:00,,,-0.69436985,-1.0008935,
1985-04-15 00:00:00,,,-0.76218027,-0.97993964,
1985-05-15 00:00:00,,,-1.1413311,-0.93244326,
1985-06-15 00:00:00,,,-0.78708535,-0.86758834,
1985-07-15 00:00:00,,,-0.932097,-0.81968784,
1985-08-15 00:00:00,,,-1.1161029,-0.7688557,
1985-09-15 00:00:00,,,-0.79840916,-0.7076791,
1985-10-15 00:00:00,,,-0.4850916,-0.65383804,
1985-11-15 00:00:00,,,-0.6036622,-0.63139755,
1985-12-15 00:00:00,,,-0.30800557,-0.63504046,
1986-01-15 00:00:00,,,-0.19906712,-0.6435652,
1986-02-15 00:00:00,,,-0.4886032,-0.65686744,
1986-03-15 00:00:00,,,-0.4095139,-0.6696043,
1986-04-15 00:00:00,,,-0.45092162,-0.6845093,
1986-05-15 00:00:00,,,-0.26389003,-0.71239173,
1986-06-15 00:00:00,,,-1.0940533,-0.7549666,
1986-07-15 00:00:00,,,-1.1454694,-0.77939254,
