year_month,MSL_filtered_GIA_TPA_corrected_adjusted,chlor_a,sst_anomaly_filtered,value,greenland_mass_antarctica,time,moyenne_variable
1983-08-01,,,-1.2231166,,,,
1983-09-01,,,-1.2572497,,,,
1983-10-01,,,-1.2913964,,,,
1983-11-01,,,-1.3072218,,,,
1983-12-01,,,-1.2856736,,,,
1984-01-01,,,-1.2541541,,,,
1984-02-01,,,-1.2245597,,,,
1984-03-01,,,-1.1958174,,,,
1984-04-01,,,-1.175391,,,,
1984-05-01,,,-1.1677396,,,,
1984-06-01,,,-1.1532793,,,,
1984-07-01,,,-1.1430491,,,,
1984-08-01,,,-1.1403985,,,,
1984-09-01,,,-1.1233208,,,,
1984-10-01,,,-1.1025554,,,,
1984-11-01,,,-1.0848985,,,,
1984-12-01,,,-1.0652864,,,,
1985-01-01,,,-1.0395648,,,,
1985-02-01,,,-1.0192568,,,,
1985-03-01,,,-1.0008935,,,,
1985-04-01,,,-0.97993964,,,,
1985-05-01,,,-0.93244326,,,,
1985-06-01,,,-0.86758834,,,,
1985-07-01,,,-0.81968784,,,,
1985-08-01,,,-0.7688557,,,,
1985-09-01,,,-0.7076791,,,,
1985-10-01,,,-0.65383804,,,,
1985-11-01,,,-0.63139755,,,,
1985-12-01,,,-0.63504046,,,,
1986-01-01,,,-0.6435652,,,,
1986-02-01,,,-0.65686744,,,,
1986-03-01,,,-0.6696043,,,,
1986-04-01,,,-0.6845093,,,,
1986-05-01,,,-0.71239173,,,,
1986-06-01,,,-0.7549666,,,,
1986-07-01,,,-0.77939254,,,,
1986-08-01,,,-0.78036654,,,,
1986-09-01,,,-0.7617724,,,,
1986-10-01,,,-0.73569083,,,,
1986-11-01,,,-0.73035103,,,,
1986-12-01,,,-0.7381006,,,,
1987-01-01,,,-0.74103296,,,,
1987-02-01,,,-0.7281713,,,,
1987-03-01,,,-0.717973,,,,
1987-04-01,,,-0.7162138,,,,
1987-05-01,,,-0.7207686,,,,
1987-06-01,,,-0.7294781,,,,
1987-07-01,,,-0.7195513,,,,
1987-08-01,,,-0.6996757,,,,
1987-09-01,,,-0.70263845,,,,
1987-10-01,,,-0.7216711,,,,
1987-11-01,,,-0.73370403,,,,
1987-12-01,,,-0.7501472,,,,
1988-01-01,,,-0.7591819,,,,
1988-02-01,,,-0.75306326,,,,
1988-03-01,,,-0.7403202,,,,
1988-04-01,,,-0.7099248,,,,
1988-05-01,,,-0.66499174,,,,
1988-06-01,,,-0.6290915,,,,
1988-07-01,,,-0.621072,,,,
1988-08-01,,,-0.6180948,,,,
1988-09-01,,,-0.6313651,,,,
1988-10-01,,,-0.6741816,,,,
1988-11-01,,,-0.69278055,,,,
1988-12-01,,,-0.67863226,,,,
1989-01-01,,,-0.6680515,,,,
1989-02-01,,,-0.66454244,,,,
1989-03-01,,,-0.6532406,,,,
1989-04-01,,,-0.63895255,,,,
1989-05-01,,,-0.618534,,,,
1989-06-01,,,-0.59953755,,,,
1989-07-01,,,-0.59992397,,,,
1989-08-01,,,-0.6146186,,,,
1989-09-01,,,-0.6244879,,,,
1989-10-01,,,-0.60746783,,,,
1989-11-01,,,-0.5688312,,,,
1989-12-01,,,-0.5258565,,,,
1990-01-01,,,-0.48622862,,,,
1990-02-01,,,-0.4584608,,,,
1990-03-01,,,-0.44474444,,,,
1990-04-01,,,-0.4479466,,,,
1990-05-01,,,-0.47966042,,,,
1990-06-01,,,-0.5141234,,,,
1990-07-01,,,-0.53140044,,,,
1990-08-01,,,-0.54050237,,,,
1990-09-01,,,-0.5324167,,,,
1990-10-01,,,-0.5015146,,,,
1990-11-01,,,-0.48643598,,,,
1990-12-01,,,-0.50681496,,,,
1991-01-01,,,-0.540909,,,,
1991-02-01,,,-0.5773135,,,,
1991-03-01,,,-0.61479944,,,,
1991-04-01,,,-0.6522616,,,,
1991-05-01,,,-0.6969487,,,,
1991-06-01,,,-0.7351374,,,,
1991-07-01,,,-0.7585332,,,,
1991-08-01,,,-0.75681096,,,,
1991-09-01,,,-0.7368524,,,,
1991-10-01,,,-0.7442781,,,,
1991-11-01,,,-0.7702345,,,,
1991-12-01,,,-0.7906902,,,,
1992-01-01,,,-0.81327003,,,,
1992-02-01,,,-0.8346134,,,,
1992-03-01,,,-0.85438186,,,,
1992-04-01,,,-0.86836535,,,,
1992-05-01,,,-0.8376227,,,,
1992-06-01,,,-0.77000004,,,,
1992-07-01,,,-0.72743905,,,,
1992-08-01,,,-0.71335,,,,
1992-09-01,,,-0.7115399,,,,
1992-10-01,,,-0.7226361,,,,
1992-11-01,,,-0.7199616,,,,
1992-12-01,,,-0.6937293,,,,
1993-01-01,-1.9917211774193548,,-0.6571095,,,,
1993-02-01,-0.9555542307142858,,-0.6290498,,,,
1993-03-01,0.3165272445280645,,-0.59777164,,,,
1993-04-01,1.54954417,,-0.56001514,,,,
1993-05-01,2.083285283870968,,-0.5268568,,,,
1993-06-01,1.8555350066666667,,-0.49317023,,,,
1993-07-01,1.6532283129032257,,-0.45216516,,,,
1993-08-01,1.9429423548387093,,-0.41645998,,,,
1993-09-01,2.319861883333333,,-0.38773978,,,,
1993-10-01,2.242018612903226,,-0.3515057,,,,
1993-11-01,1.7886251633333332,,-0.32642168,,,,
1993-12-01,1.3726301838709678,,-0.31601796,,,,
1994-01-01,1.1712367580645162,,-0.3123637,,,,
1994-02-01,1.152731692857143,,-0.30234522,,,,
1994-03-01,1.3355997161290325,,-0.2768632,,,,
1994-04-01,1.7514926333333334,,-0.25798893,,,,
1994-05-01,2.172367274193548,,-0.25949436,,,,
1994-06-01,2.215872553333333,,-0.26971132,,,,
1994-07-01,1.9166400677419355,,-0.2558065,,,,
1994-08-01,1.737862370967742,,-0.22499338,,,,
1994-09-01,1.8487728966666663,,-0.2173526,,,,
1994-10-01,2.044964235483871,,-0.22250254,,,,
1994-11-01,2.1730231033333336,,-0.23684995,,,,
1994-12-01,2.231730529032258,,-0.26141742,,,,
1995-01-01,2.097922803225807,,-0.2743496,,,,
1995-02-01,1.6604427249999998,,-0.27263027,,,,
1995-03-01,1.1427696074193547,,-0.28347465,,,,
1995-04-01,0.986073157,,-0.3053673,,,,
1995-05-01,1.4211065645161292,,-0.31481153,,,,
1995-06-01,2.09344176,,-0.30763575,,,,
1995-07-01,2.333919177419355,,-0.31885576,,,,
1995-08-01,1.8808414548387096,,-0.3591497,,,,
1995-09-01,1.4601525700000002,,-0.41107813,,,,
1995-10-01,2.187958329032258,,-0.4791817,,,,
1995-11-01,4.287329369999999,,-0.5352326,,,,
1995-12-01,6.614800819354838,,-0.55787253,,,,
1996-01-01,7.637807054838709,,-0.547491,,,,
1996-02-01,6.976854696551724,,-0.52705467,,,,
1996-03-01,5.483842216129032,,-0.5133426,,,,
1996-04-01,4.094911773333333,,-0.5074921,,,,
1996-05-01,3.088496651612904,,-0.49833345,,,,
1996-06-01,2.3240857966666666,,-0.47865885,,,,
1996-07-01,1.8404621870967743,,-0.48312166,,,,
1996-08-01,1.872796367741936,,-0.51224643,,,,
1996-09-01,2.6511088133333334,,-0.5241287,,,,
1996-10-01,4.266658706451612,,-0.51305276,,,,
1996-11-01,6.237456033333333,,-0.495062,,,,
1996-12-01,7.286822558064516,,-0.47905877,,,,
1997-01-01,6.276663,,-0.46920797,,,,
1997-02-01,3.861124578571428,,-0.45749494,,,,
1997-03-01,1.859179177419355,,-0.4369218,,,,
1997-04-01,1.59056522,,-0.41303438,,,,
1997-05-01,2.724056906451613,,-0.40244594,,,,
1997-06-01,3.618306146666667,,-0.3999368,,,,
1997-07-01,3.444320325806452,,-0.37936518,,,,
1997-08-01,2.986539158064516,,-0.3473614,,,,
1997-09-01,3.3836978066666665,0.053406797,-0.31379902,,,,
1997-10-01,4.740027725806451,0.056052394,-0.27215236,,,,
1997-11-01,6.0900958266666665,0.0778316,-0.2343736,,,,
1997-12-01,6.446326083870967,0.11560899,-0.22097145,,,,
1998-01-01,5.709399629032258,0.12050937,-0.2278221,,,,
1998-02-01,4.646826810714286,0.113974266,-0.24354497,,,,
1998-03-01,3.909810206451613,0.09945272,-0.2618871,,,,
1998-04-01,3.691788403333333,0.07292001,-0.26328465,,,,
